,At Rim,3 to <10 ft,10 to <16 ft,16 ft to <3-pt,3-pt
Demetrius Jackson,1.001,0.501,1.001,0.001,0.001
Dennis Schroder,0.561,0.386,0.444,0.473,0.339
Denzel Valentine,0.601,0.274,0.572,0.251,0.334
Deron Williams,0.551,0.485,0.427,0.472,0.345
Derrick Favors,0.592,0.454,0.439,0.369,0.251
Derrick Jones,0.79,0.001,0.001,0.001,0.001
Derrick Rose,0.552,0.427,0.439,0.411,0.229
Derrick Williams,0.578,0.223,0.701,0.463,0.262
Devin Booker,0.594,0.415,0.336,0.404,0.372
Devin Harris,0.441,0.321,0.501,0.313,0.34
Dewayne Dedmon,0.716,0.437,0.401,0.572,0.001
Deyonta Davis,0.631,0.601,0.001,0.144,0.001
Diamond Stone,0.251,0.001,0.001,0.501,0.001
Dion Waiters,0.509,0.307,0.251,0.421,0.388
Dirk Nowitzki,0.534,0.441,0.441,0.403,0.375
Domantas Sabonis,0.575,0.373,0.279,0.413,0.313
Donatas Motiejunas,0.868,0.445,0.401,0.274,0.001
Dorian Finney-Smith,0.644,0.39,0.144,0.401,0.317
Doug McDermott,0.609,0.443,0.387,0.45,0.373
Dragan Bender,0.626,0.334,0.501,0.183,0.322
Draymond Green,0.652,0.165,0.309,0.201,0.328
Dwight Howard,0.744,0.293,0.251,0.236,0.001
Dwight Powell,0.73,0.388,0.386,0.34,0.232
Dwyane Wade,0.568,0.418,0.423,0.392,0.327
E\'Twaun Moore,0.608,0.511,0.334,0.427,0.398
Ed Davis,0.579,0.386,1.001,0.001,0.001
Elfrid Payton,0.595,0.399,0.437,0.365,0.271
Emmanuel Mudiay,0.504,0.247,0.269,0.355,0.31
Enes Kanter,0.65,0.551,0.349,0.42,0.157
Eric Bledsoe,0.612,0.494,0.403,0.334,0.333
Eric Gordon,0.622,0.334,0.168,0.351,0.38
Ersan Ilyasova,0.641,0.365,0.347,0.483,0.363
Evan Fournier,0.611,0.405,0.459,0.368,0.331
Evan Turner,0.591,0.52,0.446,0.369,0.284
Frank Kaminsky,0.581,0.418,0.312,0.309,0.327
Fred VanVleet,0.392,0.101,0.501,0.445,0.422
Garrett Temple,0.678,0.539,0.501,0.295,0.368
Gary Harris,0.632,0.367,0.401,0.301,0.421
Gary Neal,0.001,0.001,0.001,0.001,0.001
George Hill,0.668,0.501,0.479,0.384,0.402
Georges Niang,0.456,0.334,0.001,0.001,0.084
Georgios Papagiannis,1.001,0.501,0.001,0.001,0.001
Gerald Green,0.546,0.317,0.42,0.365,0.359
Gerald Henderson,0.661,0.363,0.391,0.386,0.377
Giannis Antetokounmpo,0.71,0.416,0.345,0.364,0.277
Glenn Robinson,0.615,0.434,0.501,0.438,0.40700000000000003
Goran Dragic,0.624,0.48,0.43,0.399,0.423
Gordon Hayward,0.696,0.408,0.475,0.362,0.391
Gorgui Dieng,0.634,0.464,0.449,0.446,0.356
Greg Monroe,0.615,0.398,0.557,0.422,0.001
Greivis Vasquez,0.001,0.001,1.001,0.334,0.001
Harrison Barnes,0.694,0.509,0.457,0.415,0.346
Hassan Whiteside,0.749,0.441,0.356,0.387,0.001
Henry Ellenson,1.001,0.001,0.001,0.251,0.287
Hollis Thompson,0.582,0.351,0.43,0.223,0.355
Ian Clark,0.637,0.442,0.473,0.517,0.394
Ian Mahinmi,0.401,0.501,0.001,0.001,0.001
Iman Shumpert,0.655,0.06,0.319,0.443,0.38
Isaiah Canaan,0.543,0.637,0.301,0.351,0.274
Isaiah Thomas,0.59,0.354,0.52,0.466,0.389
Isaiah Whitehead,0.501,0.357,0.317,0.303,0.327
Ish Smith,0.568,0.371,0.493,0.415,0.234
Ivica Zubac,0.535,0.492,0.274,0.668,0.001
J.J. Barea,0.516,0.379,0.543,0.459,0.352
J.J. Redick,0.527,0.472,0.334,0.464,0.417
J.R. Smith,0.501,0.001,0.287,0.168,0.363
JaMychal Green,0.605,0.301,0.376,0.51,0.37
JaVale McGee,0.738,0.365,0.501,0.001,0.001
Jabari Parker,0.674,0.362,0.287,0.386,0.366
Jae Crowder,0.783,0.349,0.295,0.355,0.405
Jahlil Okafor,0.706,0.397,0.368,0.264,0.001
