,At Rim,3 to <10 ft,10 to <16 ft,16 ft to <3-pt,3-pt
Isaiah Whitehead,139,60,20,44,96
Ish Smith,151,93,66,117,74
Ivica Zubac,59,54,12,10,2
J.J. Barea,34,38,25,25,75
J.J. Redick,58,35,37,189,357
J.R. Smith,15,8,8,19,139
JaMychal Green,170,31,25,54,112
JaVale McGee,176,45,5,5,1
Jabari Parker,340,120,57,123,179
Jae Crowder,102,24,18,83,286
Jahlil Okafor,157,150,61,20,1
Jake Layman,6,6,2,8,40
Jakob Poeltl,45,14,3,2,1
Jamal Crawford,62,81,83,195,237
Jamal Murray,112,48,44,60,242
Jameer Nelson,103,43,27,102,214
James Ennis,101,24,4,17,108
James Harden,254,160,97,70,554
James Johnson,190,80,40,42,184
James Jones,4,2,2,12,49
James Michael McAdoo,49,15,6,9,4
James Young,11,6,5,4,27
Jared Dudley,39,9,15,36,134
Jared Sullinger,13,8,5,8,19
Jarell Martin,74,15,7,26,27
Jarnell Stokes,2,1,1,1,1
Jarrett Jack,2,2,2,1,1
Jason Smith,45,22,26,108,22
Jason Terry,17,7,9,12,113
Jaylen Brown,120,43,22,20,82
Jeff Green,108,82,53,66,173
Jeff Teague,168,207,69,60,175
Jeff Withey,45,12,3,3,2
Jerami Grant,105,41,12,25,88
Jeremy Lamb,67,47,49,52,95
Jeremy Lin,42,23,17,19,56
Jerian Grant,44,23,31,38,100
Jerryd Bayless,11,4,9,7,6
Jimmy Butler,247,110,154,215,189
Joakim Noah,179,19,4,2,1
Jodie Meeks,27,14,19,23,90
Joe Harris,91,24,7,22,219
Joe Ingles,56,23,11,26,179
Joe Johnson,33,106,57,72,171
Joe Young,12,7,11,18,24
Joel Anthony,7,3,1,1,1
Joel Bolomboy,3,2,2,2,1
Joel Embiid,141,82,74,38,99
Joffrey Lauvergne,90,50,9,19,77
John Henson,131,98,15,25,2
John Jenkins,4,3,1,1,1
John Lucas III,2,3,2,1,1
John Wall,376,99,108,273,192
Johnny O\'Bryant,6,4,4,3,4
Jon Leuer,125,76,87,76,140
Jonas Jerebko,50,36,9,15,104
Jonas Valanciunas,250,160,78,54,1
Jonathan Gibson,18,7,10,19,46
Jonathon Simmons,106,45,20,56,67
Jordan Clarkson,191,157,82,90,233
Jordan Farmar,3,2,10,1,1
Jordan Hill,5,4,2,4,1
Jordan McRae,40,18,19,21,48
Jordan Mickey,22,6,5,2,1
Jose Calderon,9,4,13,21,35
Josh Huestis,2,2,3,1,1
Josh McRoberts,35,18,18,19,32
Josh Richardson,43,29,34,75,151
Jrue Holiday,182,107,64,87,188
Juan Hernangomez,52,15,3,6,66
Julius Randle,249,187,42,50,30
Justin Anderson,87,44,17,15,125
Justin Hamilton,74,54,18,8,156
Justin Holiday,80,19,27,61,207
Justise Winslow,75,59,15,47,38
Jusuf Nurkic,219,97,7,26,1
K.J. McDaniels,26,13,4,2,28
Karl-Anthony Towns,419,276,78,113,200
Kawhi Leonard,173,125,172,211,281
Kay Felder,47,18,19,37,21
Kelly Olynyk,130,42,21,25,146
Kelly Oubre,91,32,22,26,147
Kemba Walker,342,75,70,162,412
Kenneth Faried,215,83,13,9,6
Kent Bazemore,160,63,38,119,211
Kentavious Caldwell-Pope,108,60,75,140,324
Kevin Durant,266,118,160,149,295
Kevin Love,137,101,71,55,310
Kevin Seraphin,37,46,30,31,3
Kevon Looney,65,11,3,7,9
Khris Middleton,10,15,18,10,13
Klay Thompson,163,65,125,200,475
Kosta Koufos,135,149,20,2,1
Kris Dunn,51,36,18,63,53
Kris Humphries,63,13,25,26,42
Kristaps Porzingis,158,119,144,87,253
Kyle Anderson,38,33,18,22,26
Kyle Korver,18,10,24,91,287
Kyle Lowry,163,151,51,65,443
Kyle O\'Quinn,154,31,38,82,13
Kyle Singler,20,7,2,4,27
Kyle Wiltjer,11,1,1,1,1
Kyrie Irving,277,117,166,145,323
LaMarcus Aldridge,168,153,152,257,40
Lamar Patterson,6,3,3,7,1
Lance Stephenson,22,9,12,22,12
Lance Thomas,35,30,10,43,57
Langston Galloway,42,23,23,90,271
Larry Nance Jr.,94,45,25,47,14
Lavoy Allen,40,38,8,46,2
LeBron James,395,114,112,102,241
Leandro Barbosa,103,36,27,75,75
Lou Williams,159,144,88,51,350
Luc Mbah a Moute,123,18,5,55,85
Lucas Nogueira,121,16,3,6,10
Luis Scola,59,31,9,7,51
Luke Babbitt,12,10,24,20,155
Luol Deng,121,41,36,67,165
Malachi Richardson,9,8,6,21,29
Malcolm Brogdon,192,62,47,45,142
Malcolm Delaney,42,23,27,156,94
Malik Beasley,20,2,2,6,18
Manu Ginobili,70,44,32,20,171
Marc Gasol,116,248,186,174,215
Marcelo Huertas,10,20,20,3,20
Marcin Gortat,291,149,75,11,2
Marco Belinelli,56,26,26,139,221
Marcus Morris,92,67,140,204,284
Marcus Smart,123,93,47,43,237
Marcus Thornton,46,37,16,35,81
Mario Hezonja,34,12,8,52,82
Markieff Morris,197,130,117,105,158
Marquese Chriss,175,54,22,32,151
Marreese Speights,101,59,26,32,212
Marshall Plumlee,5,1,1,1,1
Marvin Williams,113,74,42,29,268
Mason Plumlee,290,89,40,49,7
Matt Barnes,82,52,13,31,212
Matthew Dellavedova,58,98,45,31,148
Maurice Harkless,241,56,8,26,167
Maurice Ndour,18,8,6,7,6
Metta World Peace,6,2,3,5,17
Meyers Leonard,30,29,23,40,157
Michael Beasley,117,90,58,65,39
Michael Carter-Williams,45,69,38,18,46
Michael Gbinije,5,3,5,1,1
Michael Kidd-Gilchrist,228,58,45,115,10
Mike Conley,140,97,66,121,285
Mike Dunleavy,36,8,6,19,110
Mike Miller,2,2,13,1,1
Mike Muscala,82,26,39,47,90
Mike Scott,8,11,11,5,28
Mike Tobey,4,2,1,1,1
Miles Plumlee,46,28,6,1,1
Mindaugas Kuzminskas,95,36,5,5,125
Mirza Teletovic,33,16,14,18,214
Monta Ellis,97,66,39,99,87
Montrezl Harrell,195,61,9,21,4
Myles Turner,191,106,80,198,98
Nemanja Bjelica,77,56,11,11,163
Nene Hilario,166,40,28,40,8
Nerlens Noel,116,32,17,24,2
Nick Collison,7,4,2,1,1
Nick Young,48,18,45,90,377
Nicolas Batum,81,80,131,127,305
Nicolas Brussino,5,3,3,14,44
Nicolas Laprovittola,14,5,2,3,28
Nik Stauskas,117,27,22,28,238
Nikola Jokic,219,167,60,61,93
Nikola Mirotic,89,27,27,28,253
Nikola Vucevic,165,190,155,198,55
Noah Vonleh,67,41,8,27,21
Norman Powell,146,44,12,36,114
Norris Cole,2,4,2,1,1
Okaro White,15,7,5,5,22
Omer Asik,59,7,1,1,1
Omri Casspi,58,34,3,2,34
Otto Porter,123,58,55,110,267
P.J. Tucker,120,59,30,23,139
Pascal Siakam,89,47,23,28,5
Pat Connaughton,17,4,2,3,15
Patrick Beverley,75,67,23,15,201
Patrick McCaw,32,14,13,12,88
Patrick Patterson,36,28,21,10,190
Patty Mills,72,15,17,111,242
Pau Gasol,84,98,45,116,53
Paul George,126,100,117,266,324
Paul Millsap,207,174,148,77,205
Paul Pierce,4,2,6,6,28
Paul Zipser,21,12,5,14,49
Pierre Jackson,12,4,5,11,12
Quincy Acy,22,7,4,5,34
Quinn Cook,2,2,8,1,1
R.J. Hunter,2,1,1,1,1
Rajon Rondo,130,59,28,98,87
Rakeem Christmas,13,5,2,3,1
Ramon Sessions,84,64,33,25,62
Randy Foye,45,24,5,18,139
Rashad Vaughn,16,11,6,12,60
Raul Neto,23,10,2,7,22
Raymond Felton,118,60,28,91,121
